No,Name,Location,Year,KmDriven,FuelType,Transmission,OwnerType,CC,Seats,Price
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,1197,5,360000
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,1598,5,399000
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,799,5,330000
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,1197,5,207000
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,1995,5,775000
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,998,5,225000
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,2393,8,1650000
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,1399,5,275000
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,1796,5,2670000
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,2148,5,1000000
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,1396,5,250000
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,1968,5,1350000
66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,1497,5,185000
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,1950,5,3567000
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,1248,7,815000
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,1396,5,1050000
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,4806,5,1450000
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,2179,7,965000
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,1197,5,348000
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,1461,5,692000
74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,1198,5,646000
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,1968,5,2950000
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,1399,5,200000
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,1998,8,450000
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,2494,7,1175000
79,Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,1086,5,130000
80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,1248,5,375000
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,1193,5,450000
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,1198,5,482000
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,1399,5,280000
84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,1248,5,311000
85,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,1497,5,325000
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,1995,5,1390000
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,1197,5,225000
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,1197,5,575000
89,Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,1086,5,210000
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,1198,5,500000
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,2982,7,1650000
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,1968,5,3958000
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,1498,5,550000
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,2179,7,810000
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,1498,5,350000
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,1199,5,279000
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,1493,5,345000
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,998,5,445000
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,1598,5,265000
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,1396,5,380000
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,1197,5,465000
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,1198,7,395000
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,2967,5,980000
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,1197,5,270000
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,796,5,241000
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,1197,5,390000
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,2993,5,2400000
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,2179,7,575000
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,1582,5,525000
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,2755,7,1925000
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,1196,5,391000
112,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,624,4,215000
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,1995,5,2075000
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,1799,5,335000
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,2494,7,1111000
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,1984,5,2000000
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,1198,5,655000
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,2497,5,700000
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,1248,5,750000
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,1086,5,85000
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,2143,5,1675000
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,1582,5,1095000
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,998,5,245000
124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,624,4,323000
125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,2179,8,775000
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,1796,5,935000
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,2354,5,525000
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,1498,5,725000
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,1373,5,747000
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,2179,7,1325000
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,1197,5,581000
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,998,5,260000
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,2996,2,5400000
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,1591,5,1150000
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,796,5,160000
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,1995,5,1722000
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,1199,5,600000
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,1799,5,395000
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,2143,5,1795000
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,1498,5,370000
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,1197,5,543000
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,1086,5,167000
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,2982,7,1349000
145,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,1199,5,285000
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,1498,5,475000
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,1373,5,990000
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,2894,4,3700000
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,1995,5,2650000
150,Audi A4 2.0 TDI 177  Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,1968,5,2332000
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,1248,5,625000
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,5461,5,3000000
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,1498,5,986000
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,1968,5,850000
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,814,5,423000
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,1199,5,350000
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,1198,5,250000
158,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,1198,5,239000
159,Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,1595,5,1125000
160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,1498,5,711000
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,2494,7,1090000
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,1197,5,620000
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,2179,7,790000
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,1498,5,442000
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,2982,7,1350000
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,1498,5,625000
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,1399,5,210000
168,BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,2993,5,4500000
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,2143,5,3366000
170,Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,1198,5,365000
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,1197,5,275000
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,2143,5,4250000
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,1197,5,650000
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,1968,5,1900000
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,1598,5,445000
176,Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,1998,5,2300000
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,1396,5,835000
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,1968,5,2295000
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,936,5,150000
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,1798,5,689000
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,1399,5,145000
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,1995,5,3350000
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,1598,5,125000
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,1199,5,420000
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,1461,8,675000
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,2143,5,3200000
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,1197,5,750000
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,1582,5,460000
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,1086,5,404000
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,1997,7,1031000
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,2179,5,5576000
192,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,1399,5,260000
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,1248,7,850000
194,Honda City 1.5 GXI,Ahmedabad,2007,60006,Petrol,Manual,First,,,295000
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,1498,5,350000
196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,1197,5,355000
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,1498,5,325000
198,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,1896,5,450000
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,1461,5,535000
200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,1493,7,650000
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,1248,5,900000
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,First,1197,5,600000
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Petrol,Manual,First,1390,5,275000
204,Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,First,1193,5,150000
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,Diesel,Automatic,First,1968,5,1990000
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,Petrol,Automatic,First,1798,5,1000000
207,Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,First,1364,5,300000
208,Maruti Swift 1.3 VXi,Kolkata,2010,42001,Petrol,Manual,First,,,211000
209,Mercedes-Benz B Class B180,Kochi,2014,37245,Petrol,Automatic,First,1595,5,1196000
210,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,1498,5,325000
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,Second,1582,5,475000
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,1461,5,595000
213,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Petrol,Manual,Second,1591,5,815000
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,Petrol,Automatic,First,998,5,422000
215,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,Petrol,Automatic,First,1796,5,1050000
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,Diesel,Automatic,First,2967,5,4500000
217,Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,Second,1086,5,290000
218,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,Petrol,Automatic,First,1598,5,890000
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,1798,5,2600000
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,Petrol,Manual,First,1197,5,822000
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,Second,1498,5,350000
222,Maruti Wagon R LXI,Chennai,2004,61000,Petrol,Manual,Second,998,5,125000
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,1461,5,370000
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,Diesel,Automatic,First,2143,5,3941000
225,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,998,5,265000
226,Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,46173,Diesel,Manual,Second,1461,5,892000
227,Maruti Swift VDI BSIV,Delhi,2013,47000,Diesel,Manual,First,1248,5,410000
228,Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,1998,4,3567000
229,Ford Figo Diesel,Bangalore,2015,70436,Diesel,Manual,First,1498,,360000
230,Tata Indica V2 DLS BSII,Jaipur,2007,200000,Diesel,Manual,Second,1396,5,85000
231,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,1199,5,332000
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,Diesel,Manual,First,1199,5,360000
233,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,1248,5,680000
234,Ford Figo Diesel EXI,Kolkata,2012,41284,Diesel,Manual,First,1399,5,250000
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,First,2755,7,1964000
236,Hyundai Santa Fe 4x4 AT,Mumbai,2011,67000,Diesel,Automatic,Second,2199,7,700000
237,Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,1497,5,387000
238,Hyundai i20 1.2 Magna Executive,Kochi,2018,14960,Petrol,Manual,First,1197,5,627000
239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,55980,Diesel,Automatic,First,2143,5,1812000
240,Chevrolet Beat Diesel LT,Mumbai,2013,74000,Diesel,Manual,First,936,5,265000
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,Diesel,Manual,First,1396,5,720000
242,Toyota Innova 2.5 Z Diesel 7 Seater,Coimbatore,2015,121374,Diesel,Manual,First,2494,7,1430000
243,Maruti Ertiga VDI,Chennai,2013,52000,Diesel,Manual,First,1248,7,690000
244,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2014,118000,Diesel,Manual,First,2494,7,1075000
245,Hyundai Santro Xing XO eRLX Euro II,Mumbai,2007,72000,Petrol,Manual,Third,1086,5,95000
246,Honda City i VTEC V,Kochi,2016,33915,Petrol,Manual,First,1497,5,809000
247,BMW X1 sDrive20d,Ahmedabad,2014,82002,Diesel,Automatic,First,1995,5,1850000
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,33000,Diesel,Manual,First,1120,5,475000
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,34000,Diesel,Manual,First,1248,5,845000
250,Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,55000,Diesel,Manual,First,1598,5,350000
251,Hyundai Aent CRDi,Kochi,2006,160538,Diesel,Manual,First,1493,5,180000
252,Volkswagen Polo GT 1.5 TDI,Jaipur,2014,60000,Diesel,Manual,Second,1498,5,370000
253,Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,49575,Petrol,Manual,First,1199,5,717000
254,Hyundai i10 Era,Jaipur,2010,83000,Petrol,Manual,First,1086,5,175000
255,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,51346,Diesel,Automatic,First,1995,5,2199000
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,Diesel,Manual,First,2393,7,1865000
257,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,35000,Petrol,Manual,Third,796,5,185000
258,Maruti Swift VXI BSIV,Coimbatore,2017,27872,Petrol,Manual,Second,1197,5,595000
259,Hyundai Grand i10 Magna,Mumbai,2014,16514,Petrol,Manual,First,1197,5,375000
260,Maruti Swift VDI,Pune,2012,120000,Diesel,Manual,First,1248,5,375000
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,1582,5,260000
262,Hyundai Santro Xing XL,Hyderabad,2006,99000,Petrol,Manual,First,1086,5,175000
263,Hyundai i20 1.2 Sportz,Mumbai,2010,52000,Petrol,Manual,First,1197,5,280000
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,2987,5,6129000
265,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Bangalore,2014,57000,Diesel,Manual,Second,2148,5,1800000
266,Maruti Ritz ZDi,Hyderabad,2014,88500,Diesel,Manual,First,1248,5,435000
267,Hyundai Creta 1.6 CRDi SX,Bangalore,2016,28000,Diesel,Manual,First,1582,5,1375000
268,Maruti A-Star Vxi,Pune,2010,67000,Petrol,Manual,First,998,5,200000
269,Renault Duster 110PS Diesel RXZ Option,Delhi,2016,26000,Diesel,Manual,First,1461,5,1000000
270,Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,2010,120000,Diesel,Manual,First,1248,5,165000
271,BMW X3 xDrive30d M Sport,Coimbatore,2017,51982,Diesel,Automatic,First,2993,5,4577000
